channel_id,sequence,send_height,ack_height,block_delay,send_time,ack_time,fee_amount,fee_denom
channel-19774,345661,30202090,30202101.0,11.0,,,,
channel-750,680769,30202090,30202094.0,4.0,,,,
channel-874,292250,30202091,30202102.0,11.0,,,,
channel-750,680770,30202091,30202096.0,5.0,,,,
channel-874,292251,30202092,30202102.0,10.0,,,,
channel-208,1489129,30202093,30202102.0,9.0,,,,
channel-208,1489130,30202094,30202105.0,11.0,,,,
channel-143,128218,30202096,30202106.0,10.0,,,,
channel-750,680771,30202097,30202112.0,15.0,,,,
channel-6994,1322485,30202097,30202106.0,9.0,,,,
channel-85791,3686,30202097,30202107.0,10.0,,,,
channel-782,310007,30202097,30202102.0,5.0,,,,
channel-4,166744,30202102,30202169.0,67.0,,,,
channel-750,680772,30202102,30202113.0,11.0,,,,
channel-85077,58913,30202104,30202145.0,41.0,,,,
channel-87,182883,30202104,30202116.0,12.0,,,,
channel-208,1489131,30202105,30202112.0,7.0,,,,
channel-2188,43399,30202106,30202111.0,5.0,,,,
channel-750,680773,30202107,30202122.0,15.0,,,,
channel-6994,1322486,30202107,30202138.0,31.0,,,,
channel-750,680774,30202111,30202122.0,11.0,,,,
channel-251,85118,30202113,30202124.0,11.0,,,,
channel-208,1489132,30202117,30202127.0,10.0,,,,
channel-750,680775,30202120,30202126.0,6.0,,,,
channel-750,680776,30202120,30202139.0,19.0,,,,
channel-750,680777,30202120,30202134.0,14.0,,,,
channel-750,680778,30202120,30202126.0,6.0,,,,
channel-874,292252,30202121,30202128.0,7.0,,,,
channel-91017,2695,30202122,30202132.0,10.0,,,,
channel-0,4035796,30202125,30202138.0,13.0,,,,
channel-6994,1322487,30202127,30202138.0,11.0,,,,
channel-4,166745,30202128,30202169.0,41.0,,,,
channel-0,4035797,30202131,30202151.0,20.0,,,,
channel-0,4035798,30202131,30202156.0,25.0,,,,
channel-750,680779,30202134,30202143.0,9.0,,,,
channel-208,1489133,30202136,30202149.0,13.0,,,,
channel-750,680780,30202136,30202141.0,5.0,,,,
channel-208,1489134,30202136,30202149.0,13.0,,,,
channel-1,408009,30202139,30202169.0,30.0,,,,
channel-750,680781,30202139,30202148.0,9.0,,,,
channel-750,680782,30202142,30202167.0,25.0,,,,
channel-85077,58914,30202149,30202177.0,28.0,,,,
channel-0,4035799,30202151,30202180.0,29.0,,,,
channel-208,1489135,30202154,30202166.0,12.0,,,,
channel-750,680783,30202154,30202164.0,10.0,,,,
channel-874,292253,30202154,30202160.0,6.0,,,,
channel-2188,43400,30202157,30202161.0,4.0,,,,
channel-1,408010,30202157,30202169.0,12.0,,,,
channel-199,132471,30202158,30202168.0,10.0,,,,
channel-122,667449,30202159,30202162.0,3.0,,,,
channel-0,4035800,30202160,30202186.0,26.0,,,,
channel-91017,2696,30202161,30202169.0,8.0,,,,
channel-143,128219,30202162,30202174.0,12.0,,,,
channel-85077,58915,30202168,30202177.0,9.0,,,,
channel-208,1489136,30202170,30202179.0,9.0,,,,
channel-88,466987,30202173,30202289.0,116.0,,,,
channel-216,94042,30202175,30202179.0,4.0,,,,
channel-208,1489137,30202177,30202189.0,12.0,,,,
channel-750,680784,30202181,30202191.0,10.0,,,,
channel-208,1489138,30202181,30202192.0,11.0,,,,
channel-0,4035801,30202181,30202189.0,8.0,,,,
channel-750,680785,30202183,30202191.0,8.0,,,,
channel-229,54988,30202183,30202198.0,15.0,,,,
channel-750,680786,30202184,30202189.0,5.0,,,,
channel-412,64376,30202186,30202196.0,10.0,,,,
channel-122,667450,30202188,30202198.0,10.0,,,,
channel-5,184174,30202191,30202203.0,12.0,,,,
channel-208,1489139,30202194,30202206.0,12.0,,,,
channel-85791,3687,30202195,30202202.0,7.0,,,,
channel-208,1489140,30202195,30202206.0,11.0,,,,
channel-412,64377,30202195,30202205.0,10.0,,,,
channel-91017,2697,30202197,30202206.0,9.0,,,,
channel-642,126463,30202198,30202344.0,146.0,,,,
channel-750,680787,30202199,30202223.0,24.0,,,,
channel-750,680788,30202200,30202212.0,12.0,,,,
channel-1429,140631,30202202,30202213.0,11.0,,,,
channel-750,680789,30202204,30202209.0,5.0,,,,
channel-750,680790,30202205,30202213.0,8.0,,,,
channel-750,680791,30202209,30202213.0,4.0,,,,
channel-122,667451,30202210,30202213.0,3.0,,,,
channel-750,680792,30202215,30202232.0,17.0,,,,
channel-0,4035802,30202217,30202227.0,10.0,,,,
channel-326,537282,30202218,30202223.0,5.0,,,,
channel-412,64378,30202223,30202232.0,9.0,,,,
channel-208,1489141,30202225,30202235.0,10.0,,,,
channel-750,680793,30202230,30202243.0,13.0,,,,
channel-1,408011,30202232,30202261.0,29.0,,,,
channel-0,4035803,30202232,30202246.0,14.0,,,,
channel-750,680794,30202235,30202240.0,5.0,,,,
channel-72,516372,30202237,30202339.0,102.0,,,,
channel-0,4035804,30202238,30202371.0,133.0,,,,
channel-750,680795,30202241,30202249.0,8.0,,,,
channel-91017,2698,30202241,30202248.0,7.0,,,,
